id,name,typ,Alter,Nationalität
RBS,FC Red Bull Salzburg,Verein,,
PG,Péter Gulácsi,Spieler,25,Ungarn
RBL,RB Leipzig,Verein,,
SI,Stefan Ilsanker,Spieler,26,Österreich
MH,Martin Hinteregger,Spieler,23,Österreich
BMG,Borussia Mönchengladbach,Verein,,
FP,Felipe Pires,Spieler,20,Brailien
TSG,TSG 1899 Hoffenheim,Verein,,
HN,Havard Nielsen,Spieler,22,Norwegen
SCF,SC Freiburg,Verein,,
AR,André Ramalho,Spieler,23,Brasilien
B04,Bayer 04 Leverkusen,Verein,,
NQ,Nils Quaschner,Spieler,21,Deutschland
MD,Marco Djuricin,Spieler,22,Österreich
FCB,FC Brentford,Verein,,
PA,Peter Ankersen,Spieler,24,Dänemark
FCK,FC Kopenhagen,Verein,,
TF,Taxiarchis Fountas,Spieler,19,Deutschland
AST,Asteras Tripolis,Verein,,
ARo,Ante Roguljic,Spieler,19,Kroatien
HHS,HNK Hajduk Split,Verein,,
MB,Michael Brandner,Spieler,20,Österreich
SVR,SV Ried,Verein,,
MO,Masaya Okugawa,Spieler,19,Japan
FCL,FC Liefering,Verein,,
IV,Isaac Vorsah,Spieler,,
MBru,Massimo Bruno,Spieler,,
MS,Marcel Sabitzer,Spieler,,
FB,Fabian Bredlow,Spieler,,